"","x","y"
"1","#-)","partied all night"
"2","%)","drunk"
"3","%-)","drunk"
"4","',:-l","scepticism"
"5","',:-|","scepticism"
"6","*)","wink"
"7","*-)","wink"
"8","*<|:-)","santa claus"
"9","*\0/*","cheerleader"
"10","0:)","angel"
"11","0:-)","angel"
"12","0:-3","angel"
"13","0:3","angel"
"14","0;^)","angel"
"15","=3","laughing"
"16","3:)","devilish"
"17","3:-)","devilish"
"18","8)","smiley"
"19","8-)","smiley"
"20","8-0","surprise"
"21","8-D","laughing"
"22","8D","laughing"
"23",":#","sealed lips"
"24",":###..","being sick"
"25",":$","embarrassed"
"26",":&","sealed lips"
"27",":'(","crying"
"28",":')","tears of happiness"
"29",":'-(","crying"
"30",":'-)","tears of happiness"
"31",":(","frown"
"32",":)","smiley"
"33",":*","kiss"
"34",":-#","sealed lips"
"35",":-###..","being sick"
"36",":-&","sealed lips"
"37",":-(","frown"
"38",":-)","smiley"
"39",":-))","very happy"
"40",":-*","kiss"
"41",":-,","wink"
"42",":-.","skeptical"
"43",":-/","skeptical"
"44",":-0","surprise"
"45",":-3","smiley"
"46",":-<","frown"
"47",":->","smiley"
"48",":-D","laughing"
"49",":-J","tongue"
"50",":-O","surprise"
"51",":-P","tongue sticking out"
"52",":-X","sealed lips"
"53",":-[","frown"
"54",":-]","smiley"
"55",":-b","tongue sticking out"
"56",":-c","frown"
"57",":-o","surprise"
"58",":-p","tongue sticking out"
"59",":-|","straight face"
"60",":-||","frown"
"61",":-}","smiley"
"62",":/","skeptical"
"63",":3","smiley"
"64",":<","frown"
"65",":>","smiley"
"66",":@","frown"
"67",":D","laughing"
"68",":L","skeptical"
"69",":O","surprise"
"70",":P","tongue sticking out"
"71",":S","skeptical"
"72",":X","sealed lips"
"73",":[","frown"
"74",":\","skeptical"
"75",":]","smiley"
"76",":^)","smiley"
"77",":b","tongue sticking out"
"78",":c","frown"
"79",":c)","smiley"
"80",":o","surprise"
"81",":o)","smiley"
"82",":p","tongue sticking out"
"83",":{","frown"
"84",":|","straight face"
"85",":}","smiley"
"86",";)","wink"
"87",";-)","wink"
"88",";-]","wink"
"89",";D","wink"
"90",";]","wink"
"91",";^)","wink"
"92","</3","broken heart"
"93","<3","heart"
"94","<:-|","dumb"
"95","<\3","broken heart"
"96","<_<","sideways look"
"97","=)","smiley"
"98","=/","skeptical"
"99","=]","smiley"
"100",">:(","frown"
"101",">:)","devilish"
"102",">:-)","devilish"
"103",">:/","skeptical"
"104",">:O","surprise"
"105",">:P","tongue sticking out"
"106",">:[","frown"
"107",">:\","skeptical"
"108",">;)","devilish"
"109",">_>","sideways look"
"110","@>->--","rose"
"111","@}-;-'---","rose"
"112","@}->--","rose"
"113","@};-","rose"
"114","B^D","laughing"
"115","D-':","horror"
"116","D8","horror"
"117","D:","horror"
"118","D:<","horror"
"119","D;","horror"
"120","D=","horror"
"121","DX","horror"
"122","O-O","surprise"
"123","O:)","angel"
"124","O:-)","angel"
"125","O_O","surprise"
"126","O_o","surprise"
"127","X-D","laughing"
"128","X-P","tongue sticking out"
"129","XD","laughing"
"130","XP","tongue sticking out"
"131","\o/","cheer"
"132","d:","tongue sticking out"
"133","o-o","surprise"
"134","o_O","surprise"
"135","o_o","surprise"
"136","x-D","laughing"
"137","x-p","tongue sticking out"
"138","xD","laughing"
"139","xp","tongue sticking out"
"140","|-O","cool"
"141","|;-)","cool"
"142","}:)","devilish"
"143","}:-)","devilish"
"144","~(_8^(I)","homer simpson"
