"","singular","plural"
"1","addendum","addenda"
"2","alga","algae"
"3","alumna","alumnae"
"4","alumnus","alumni"
"5","analysis","analyses"
"6","antenna","antennae"
"7","apparatus","apparatus"
"8","appendix","appendices"
"9","axis","axes"
"10","baby","babies"
"11","bacterium","bacteria"
"12","basis","bases"
"13","beau","beaux"
"14","bison","bison"
"15","box","boxes"
"16","buffalo","buffalo"
"17","bureau","bureaux"
"18","bush","bushes"
"19","cactus","cacti"
"20","calf","calves"
"21","carp","carp"
"22","cello","celli"
"23","child","children"
"24","cod","cod"
"25","corpus","corpora"
"26","crisis","crises"
"27","criterion","criteria"
"28","curriculum","curricula"
"29","datum","data"
"30","deer","deer"
"31","diagnosis","diagnoses"
"32","die","dice"
"33","duck","duck"
"34","dwarf","dwarves"
"35","echo","echoes"
"36","elf","elves"
"37","ellipsis","ellipses"
"38","fireman","fireman"
"39","fish","fish"
"40","focus","foci"
"41","foot","feet"
"42","formula","formulae"
"43","fungus","fungi"
"44","genus","genera"
"45","glass","glasses"
"46","goose","geese"
"47","half","halves"
"48","hero","heroes"
"49","hippopotamus","hippopotamuses"
"50","hoof","hooves"
"51","hypothesis","hypotheses"
"52","index","indices"
"53","kangaroo","kangaroos"
"54","knife","knives"
"55","larva","larvae"
"56","leaf","leaves"
"57","life","lives"
"58","loaf","loaves"
"59","louse","lice"
"60","man","men"
"61","matrix","matrices"
"62","medium","media"
"63","memorandum","memoranda"
"64","millennium","millennia"
"65","moose","moose"
"66","mouse","mice"
"67","nemesis","nemeses"
"68","nucleus","nuclei"
"69","oasis","oases"
"70","octopus","octopi"
"71","offspring","offspring"
"72","ovum","ova"
"73","ox","oxen"
"74","panties","panties"
"75","pants","pants"
"76","pantyhose","pantyhose"
"77","parenthesis","parentheses"
"78","penny","pennies"
"79","person","people"
"80","phenomenon","phenomena"
"81","pike","pike"
"82","pliers","pliers"
"83","poppy","poppies"
"84","potato","potatoes"
"85","radius","radii"
"86","salmon","salmon"
"87","scarf","scarves"
"88","scissors","scissors"
"89","self","selves"
"90","series","series"
"91","sheep","sheep"
"92","shelf","shelves"
"93","shorts","shorts"
"94","shrimp","shrimp"
"95","species","species"
"96","spy","spies"
"97","squid","squid"
"98","status","status"
"99","stimulus","stimuli"
"100","stratum","strata"
"101","suspenders","suspenders"
"102","switch","switches"
"103","syllabus","syllabi"
"104","synopsis","synopses"
"105","synthesis","syntheses"
"106","tableau","tableaux"
"107","tattoo","tattoos"
"108","thesis","theses"
"109","thief","thieves"
"110","tomato","tomatoes"
"111","tongs","tongs"
"112","tooth","teeth"
"113","torpedo","torpedoes"
"114","trousers","trousers"
"115","trout","trout"
"116","vertebra","vertebrae"
"117","vertex","vertices"
"118","veto","vetoes"
"119","volcano","volcanoes"
"120","watch","watches"
"121","wife","wives"
"122","wolf","wolves"
"123","woman","women"
"124","zoo","zoos"
